X,Y,Z,Datetime,vector_magnitude
0.9765625,0.0390625,-0.28515625,2025-04-16 10:00:00.000000000,1.0180935
0.9609375,-0.01171875,-0.20703125,2025-04-16 10:00:00.033333248,0.98305655
0.9765625,-0.01171875,-0.25390625,2025-04-16 10:00:00.066666496,1.0090986
0.9921875,0.0078125,-0.3359375,2025-04-16 10:00:00.100000000,1.0475453
0.984375,0.01953125,-0.3359375,2025-04-16 10:00:00.133333504,1.0403026
0.98046875,0.0,-0.30078125,2025-04-16 10:00:00.166666752,1.0255673
0.99609375,-0.01953125,-0.28515625,2025-04-16 10:00:00.200000000,1.0362906
0.9921875,-0.015625,-0.26953125,2025-04-16 10:00:00.233333248,1.0282642
0.984375,-0.015625,-0.26171875,2025-04-16 10:00:00.266666752,1.0186927
0.9921875,-0.0234375,-0.26171875,2025-04-16 10:00:00.300000000,1.0263927
0.984375,0.0,-0.28515625,2025-04-16 10:00:00.333333248,1.0248455
0.9765625,0.0,-0.29296875,2025-04-16 10:00:00.366666496,1.0195612
0.96875,-0.0078125,-0.265625,2025-04-16 10:00:00.400000000,1.0045369
0.97265625,-0.00390625,-0.2578125,2025-04-16 10:00:00.433333504,1.0062518
0.984375,-0.0234375,-0.2421875,2025-04-16 10:00:00.466666752,1.0140011
1.0,-0.0234375,-0.265625,2025-04-16 10:00:00.500000000,1.0349425
0.9765625,0.00390625,-0.29296875,2025-04-16 10:00:00.533333248,1.0195687
0.96484375,0.00390625,-0.296875,2025-04-16 10:00:00.566666496,1.0094917
0.97265625,-0.00390625,-0.296875,2025-04-16 10:00:00.600000000,1.0169612
0.96875,-0.00390625,-0.27734375,2025-04-16 10:00:00.633333504,1.0076762
0.9765625,-0.01953125,-0.265625,2025-04-16 10:00:00.666666752,1.0122315
0.98046875,-0.04296875,-0.234375,2025-04-16 10:00:00.700000000,1.0090079
0.99609375,-0.046875,-0.24609375,2025-04-16 10:00:00.733333248,1.0271136
0.9765625,-0.01171875,-0.265625,2025-04-16 10:00:00.766666752,1.0121108
0.9765625,-0.01171875,-0.24609375,2025-04-16 10:00:00.800000000,1.0071613
0.98046875,-0.03125,-0.23046875,2025-04-16 10:00:00.833333248,1.0076762
0.99609375,-0.04296875,-0.23828125,2025-04-16 10:00:00.866666496,1.0250986
1.0117188,-0.08203125,-0.2265625,2025-04-16 10:00:00.900000000,1.0400167
0.984375,-0.03125,-0.265625,2025-04-16 10:00:00.933333504,1.0200624
0.984375,-0.01953125,-0.3125,2025-04-16 10:00:00.966666752,1.0329723
0.98828125,-0.00390625,-0.31640625,2025-04-16 10:00:01.000000000,1.0377033
0.9921875,0.00390625,-0.3359375,2025-04-16 10:00:01.033333248,1.0475234
0.98046875,0.00390625,-0.30078125,2025-04-16 10:00:01.066666496,1.0255748
0.98828125,0.0078125,-0.2890625,2025-04-16 10:00:01.100000000,1.0297174
0.99609375,0.01953125,-0.26953125,2025-04-16 10:00:01.133333504,1.0321004
0.97265625,0.08984375,-0.22265625,2025-04-16 10:00:01.166666752,1.0018523
0.9609375,0.08203125,-0.2421875,2025-04-16 10:00:01.200000000,0.9943766
1.03125,-0.046875,-0.296875,2025-04-16 10:00:01.233333248,1.0741549
0.984375,-0.0859375,-0.2890625,2025-04-16 10:00:01.266666752,1.0295322
0.98828125,-0.0546875,-0.31640625,2025-04-16 10:00:01.300000000,1.0391359
0.78125,-0.10546875,-0.7578125,2025-04-16 10:00:01.333333248,1.0935059
0.953125,-0.0546875,-0.25390625,2025-04-16 10:00:01.366666496,0.98787975
0.94921875,0.02734375,-0.3203125,2025-04-16 10:00:01.400000000,1.0021796
0.95703125,-0.0703125,-0.25,2025-04-16 10:00:01.433333504,0.9916414
0.9609375,-0.05859375,-0.26171875,2025-04-16 10:00:01.466666752,0.99766266
1.0039062,-0.03515625,-0.2421875,2025-04-16 10:00:01.500000000,1.0333047
1.0,-0.0859375,-0.125,2025-04-16 10:00:01.533333248,1.0114397
1.015625,-0.13671875,-0.08984375,2025-04-16 10:00:01.566666496,1.0287167
1.03125,-0.12109375,-0.03125,2025-04-16 10:00:01.600000000,1.0388055
1.0234375,-0.10546875,-0.01171875,2025-04-16 10:00:01.633333504,1.0289243
1.0429688,-0.109375,0.0234375,2025-04-16 10:00:01.666666752,1.04895
1.0117188,-0.1015625,0.0078125,2025-04-16 10:00:01.700000000,1.0168337
0.9921875,-0.078125,-0.0625,2025-04-16 10:00:01.733333248,0.997219
1.0,-0.0703125,-0.0625,2025-04-16 10:00:01.766666752,1.0044153
1.0039062,-0.09765625,-0.03515625,2025-04-16 10:00:01.800000000,1.0092574
1.0429688,-0.10546875,-0.0234375,2025-04-16 10:00:01.833333248,1.0485499
1.03125,-0.0546875,-0.09375,2025-04-16 10:00:01.866666496,1.0369457
1.015625,-0.05078125,-0.05078125,2025-04-16 10:00:01.900000000,1.0181609
1.015625,-0.0703125,-0.05078125,2025-04-16 10:00:01.933333504,1.0193217
1.0390625,-0.09375,-0.0625,2025-04-16 10:00:01.966666752,1.0451536
1.015625,-0.0625,-0.02734375,2025-04-16 10:00:02.000000000,1.0179136
1.0117188,-0.0859375,-0.046875,2025-04-16 10:00:02.033333248,1.0164435
1.0117188,-0.08984375,-0.03515625,2025-04-16 10:00:02.066666496,1.0163083
1.0195312,-0.08203125,-0.01953125,2025-04-16 10:00:02.100000000,1.0230125
1.0039062,-0.0625,-0.03515625,2025-04-16 10:00:02.133333504,1.0064641
1.0195312,-0.078125,-0.03125,2025-04-16 10:00:02.166666752,1.0229976
1.0195312,-0.0859375,-0.02734375,2025-04-16 10:00:02.200000000,1.023512
1.0195312,-0.1015625,-0.03515625,2025-04-16 10:00:02.233333248,1.0251805
1.0273438,-0.09375,-0.03515625,2025-04-16 10:00:02.266666752,1.0322113
1.015625,-0.09375,-0.0234375,2025-04-16 10:00:02.300000000,1.020212
1.0078125,-0.0703125,-0.03515625,2025-04-16 10:00:02.333333248,1.0108738
1.0195312,-0.078125,-0.06640625,2025-04-16 10:00:02.366666496,1.0246742
1.0195312,-0.08203125,-0.04296875,2025-04-16 10:00:02.400000000,1.0237281
1.0234375,-0.08984375,-0.03515625,2025-04-16 10:00:02.433333504,1.0279748
1.0195312,-0.07421875,-0.0546875,2025-04-16 10:00:02.466666752,1.0236909
1.0234375,-0.06640625,-0.05078125,2025-04-16 10:00:02.500000000,1.026846
1.0195312,-0.06640625,-0.05078125,2025-04-16 10:00:02.533333248,1.0229528
1.0078125,-0.06640625,-0.0390625,2025-04-16 10:00:02.566666496,1.010753
1.0351562,-0.08984375,-0.046875,2025-04-16 10:00:02.600000000,1.0401046
1.0351562,-0.1015625,-0.03125,2025-04-16 10:00:02.633333504,1.040596
1.0234375,-0.06640625,-0.05078125,2025-04-16 10:00:02.666666752,1.026846
1.0195312,-0.06640625,-0.03515625,2025-04-16 10:00:02.700000000,1.0222963
1.0273438,-0.0703125,-0.046875,2025-04-16 10:00:02.733333248,1.0308135
1.0078125,-0.04296875,-0.0546875,2025-04-16 10:00:02.766666752,1.0102094
1.0039062,-0.0390625,-0.0546875,2025-04-16 10:00:02.800000000,1.0061532
1.0117188,-0.05859375,-0.03125,2025-04-16 10:00:02.833333248,1.0138958
1.0117188,-0.06640625,-0.0234375,2025-04-16 10:00:02.866666496,1.0141666
1.0078125,-0.07421875,-0.01953125,2025-04-16 10:00:02.900000000,1.0107304
1.0039062,-0.0703125,-0.04296875,2025-04-16 10:00:02.933333504,1.0072825
1.0117188,-0.0625,-0.05078125,2025-04-16 10:00:02.966666752,1.0149186
1.0429688,-0.07421875,-0.05859375,2025-04-16 10:00:03.000000000,1.0472466
1.046875,-0.09375,-0.046875,2025-04-16 10:00:03.033333248,1.0521091
1.0273438,-0.0625,-0.046875,2025-04-16 10:00:03.066666496,1.03031
1.0039062,-0.05859375,-0.01953125,2025-04-16 10:00:03.100000000,1.0058044
1.0195312,-0.0703125,-0.0390625,2025-04-16 10:00:03.133333504,1.0226992
1.03125,-0.07421875,-0.04296875,2025-04-16 10:00:03.166666752,1.0348098
1.015625,-0.0625,-0.0234375,2025-04-16 10:00:03.200000000,1.0178162
1.0039062,-0.0703125,-0.01953125,2025-04-16 10:00:03.233333248,1.0065551
1.0117188,-0.07421875,-0.01171875,2025-04-16 10:00:03.266666752,1.0145051
1.0117188,-0.078125,-0.01171875,2025-04-16 10:00:03.300000000,1.0147983
1.0195312,-0.07421875,-0.03125,2025-04-16 10:00:03.333333248,1.0227066
1.0039062,-0.05078125,-0.02734375,2025-04-16 10:00:03.366666496,1.0055616
1.0195312,-0.06640625,-0.04296875,2025-04-16 10:00:03.400000000,1.0225948
1.015625,-0.05078125,-0.0546875,2025-04-16 10:00:03.433333504,1.0183632
1.0234375,-0.046875,-0.0546875,2025-04-16 10:00:03.466666752,1.0259689
1.0390625,-0.04296875,-0.0546875,2025-04-16 10:00:03.500000000,1.0413874
1.0195312,-0.0625,-0.0390625,2025-04-16 10:00:03.533333248,1.0221918
1.0078125,-0.05078125,-0.04296875,2025-04-16 10:00:03.566666496,1.0100055
1.0078125,-0.078125,-0.0234375,2025-04-16 10:00:03.600000000,1.0111077
1.0234375,-0.0625,-0.05078125,2025-04-16 10:00:03.633333504,1.0266008
1.03125,-0.05859375,-0.05859375,2025-04-16 10:00:03.666666752,1.0345738
1.0234375,-0.0390625,-0.0546875,2025-04-16 10:00:03.700000000,1.0256417
1.03125,-0.06640625,-0.03515625,2025-04-16 10:00:03.733333248,1.0339837
1.0273438,-0.05859375,-0.05859375,2025-04-16 10:00:03.766666752,1.0306802
1.0117188,-0.0625,-0.05859375,2025-04-16 10:00:03.800000000,1.0153395
0.99609375,-0.06640625,-0.04296875,2025-04-16 10:00:03.833333248,0.99922913
1.0,-0.0703125,-0.01171875,2025-04-16 10:00:03.866666496,1.0025374
1.015625,-0.07421875,-0.01953125,2025-04-16 10:00:03.900000000,1.0185205
1.0234375,-0.0546875,-0.05078125,2025-04-16 10:00:03.933333504,1.0261549
1.0507812,-0.0703125,-0.05859375,2025-04-16 10:00:03.966666752,1.0547599
1.015625,-0.03125,-0.0546875,2025-04-16 10:00:04.000000000,1.0175762
1.015625,-0.06640625,-0.0546875,2025-04-16 10:00:04.033333248,1.0192618
